coinmarketcap,currency,github,website
https://coinmarketcap.com/currencies/life/,life,,https://token.lifelabs.io/
https://coinmarketcap.com/currencies/blazecoin/,blazecoin,https://github.com/wpstudio/blazecoin,http://blazeco.in/
https://coinmarketcap.com/currencies/zero/,zero,https://github.com/zerocurrency/zero,http://zero.finance/
https://coinmarketcap.com/currencies/brat/,brat,,http://bro-consortium.io/
https://coinmarketcap.com/currencies/desire/,desire,,http://www.desire-crypto.com/
https://coinmarketcap.com/currencies/briacoin/,briacoin,,https://briacoin.com
https://coinmarketcap.com/currencies/change/,change,,https://getchange.com/
https://coinmarketcap.com/currencies/virtualcoin/,virtualcoin,https://github.com/vcoin-z/,
https://coinmarketcap.com/currencies/aidos-kuneen/,aidos-kuneen,https://github.com/AidosKuneen,http://aidoskuneen.com/
https://coinmarketcap.com/currencies/iconic/,iconic,https://github.com/iconictoken/iconic,http://iconicproject.com/
https://coinmarketcap.com/currencies/rasputin-online-coin/,rasputin-online-coin,https://github.com/Rasputinonline/ROC,https://ico.rasputinonline.com/
https://coinmarketcap.com/currencies/india-coin/,india-coin,,https://www.indiacoin.club/
https://coinmarketcap.com/currencies/slimcoin/,slimcoin,https://github.com/slimcoin-project,http://www.slimcoin.club/
https://coinmarketcap.com/currencies/redcoin/,redcoin,https://github.com/redcoinproject/redcoin,http://redcoin.pw/
https://coinmarketcap.com/currencies/goldreserve/,goldreserve,https://github.com/Mesterlovesz74/GoldReserve,http://www.goldreservecoin.com/
https://coinmarketcap.com/currencies/greencoin/,greencoin,https://github.com/greencoin-dev/GreenCoinV2,http://www.grcoin.com/
https://coinmarketcap.com/currencies/metaverse/,metaverse,http://github.com/mvs-org,https://mvs.org/
https://coinmarketcap.com/currencies/ion/,ion,https://github.com/ionomy/ion,https://ionomy.com/
https://coinmarketcap.com/currencies/bitgold/,bitgold,,http://bit.ly/BitShares_GOLD
https://coinmarketcap.com/currencies/eltcoin/,eltcoin,https://github.com/ELTCOIN,https://www.eltcoin.tech/
https://coinmarketcap.com/currencies/idice/,idice,,https://idice.io/
https://coinmarketcap.com/currencies/dinastycoin/,dinastycoin,,http://www.dinastycoin.com/
https://coinmarketcap.com/currencies/gimli/,gimli,https://github.com/thegimliproject/GimliToken,https://gimli.io/
https://coinmarketcap.com/currencies/gobyte/,gobyte,https://github.com/gobytecoin/gobyte/,https://gobyte.network/
https://coinmarketcap.com/currencies/pinkdog/,pinkdog,,http://www.pinkdog.party/
https://coinmarketcap.com/currencies/revenu/,revenu,,https://revsurfprofit.com/coin/
https://coinmarketcap.com/currencies/compucoin/,compucoin,https://github.com/compucoin,http://compucoin.org/
https://coinmarketcap.com/currencies/fimkrypto/,fimkrypto,https://github.com/fimkrypto/,http://fimk.fi/
https://coinmarketcap.com/currencies/birds/,birds,https://github.com/Birdsdev/Birds,https://www.birdscoin.com/
https://coinmarketcap.com/currencies/adcoin/,adcoin,https://github.com/adcoin-project/AdCoin,https://www.getadcoin.com/
https://coinmarketcap.com/currencies/hitcoin/,hitcoin,,http://hitcoininfo.com/
https://coinmarketcap.com/currencies/phore/,phore,https://github.com/phoreproject/Phore,https://phore.io/
https://coinmarketcap.com/currencies/digitalnote/,digitalnote,https://github.com/xdn-project/,http://digitalnote.org/
https://coinmarketcap.com/currencies/jewels/,jewels,,http://jewelsproject.com/
